,psraid,form_abc,q2a,q2b,q2ef2,q6f2,q7ef2,q7ff2,q7gf2,q7hf2,q8df2,q8ef2,q8ff2,q11fa,q12fb,q13fc,educ2,schl,qe1,qe3,q16,q17,q18,q22f2,q23,q27,q32,q35,q49,q50a,q50b,q50c,q53ef2,q53ff2,q53gf2,q53hf2,q54a,q54b,q54c,q54d,q54e,q54f,q54g,q54h,sex,age,recage,recage2,gen5,marital,parent,hisp,race3m1,race3m2,race3m3,race3m4,racethn,racethn2,racecmb,birth_hisp,usborn1a,relig,chr,born,attend,income,reg,party,partyln,partysum,partyideo,ideo,ownrent,labor,hh1,hh3,ql1,ql1a,qc1,usr,cregion,state,density,child,laborsum,adults,ll,cp
2517,204798,1,1,2,1,2,1,2,1,1,1,1,2,2,NA,NA,7,5,3,1,1,NA,1,1,2,2,1,1,2,3,1,1,5,2,2,2,2,1,1,4,2,2,1,5,1,30,2,2,5,2,2,2,1,NA,NA,NA,1,1,1,NA,2,1,NA,2,3,7,3,1,NA,1,2,3,2,4,2,2,NA,NA,2,S,1,34,4,0,1,2,0,1
3759,209757,2,2,2,1,1,1,2,1,1,3,1,1,NA,2,NA,8,6,3,1,1,NA,1,3,1,1,2,1,2,1,1,1,3,1,4,3,1,1,2,4,2,2,1,2,1,50,4,3,4,1,2,2,1,NA,NA,NA,1,1,1,NA,1,12,NA,NA,6,8,1,3,2,2,3,3,1,4,2,2,NA,NA,2,S,4,8,3,0,1,2,0,1
4726,213634,1,1,2,1,1,2,9,1,1,1,1,1,2,NA,NA,3,6,3,1,1,NA,4,2,1,2,2,2,2,NA,NA,NA,4,2,4,2,2,2,2,2,2,2,2,2,1,27,2,1,5,1,1,1,7,NA,NA,NA,3,4,5,3,NA,2,NA,1,2,3,3,3,1,1,3,2,1,4,4,2,NA,NA,2,S,3,40,3,2,1,2,0,1
2248,203759,2,1,1,1,2,2,2,1,1,1,1,2,NA,3,NA,6,6,3,1,1,NA,1,1,2,2,1,1,2,2,2,2,3,3,4,3,1,1,3,5,1,1,1,5,1,54,4,3,3,1,2,2,1,NA,NA,NA,1,1,1,NA,2,2,NA,2,3,9,1,1,NA,1,1,2,1,4,4,4,NA,NA,1,S,1,34,4,0,1,3,1,1
1419,200669,3,2,2,2,2,2,3,3,1,2,2,2,NA,NA,3,4,6,3,1,1,NA,1,1,1,2,2,1,1,NA,NA,NA,3,2,4,2,3,3,3,4,3,3,2,4,1,57,5,3,3,1,1,2,1,NA,NA,NA,1,1,1,NA,1,10,NA,NA,4,8,1,2,NA,2,4,2,1,NA,3,2,NA,NA,2,S,4,6,3,1,1,2,0,1
2995,206617,1,2,2,2,2,1,1,1,1,1,1,1,2,NA,NA,4,6,3,2,1,NA,1,3,2,1,2,1,3,NA,NA,NA,1,1,1,1,1,1,3,3,3,1,1,1,1,25,2,1,5,6,2,2,2,NA,NA,NA,2,2,2,NA,1,12,NA,NA,5,99,3,3,9,9,3,3,9,4,4,3,NA,NA,1,S,1,42,3,1,1,3,1,1
1283,200106,2,1,1,1,2,2,2,1,1,2,1,1,NA,1,NA,8,6,3,1,1,NA,3,1,2,2,1,1,1,1,1,1,2,2,3,1,1,1,1,4,1,3,1,3,2,36,3,2,4,6,2,2,1,NA,NA,NA,1,1,1,NA,1,1,NA,2,2,6,1,3,9,9,3,3,1,NA,1,NA,NA,NA,2,U,2,19,2,0,1,1,0,1
3415,208431,1,1,3,2,2,2,2,1,1,1,1,1,3,NA,NA,6,6,3,1,1,NA,4,1,2,1,1,1,1,2,2,1,4,2,3,2,1,1,1,1,4,3,1,1,1,33,2,2,5,2,1,2,1,NA,NA,NA,1,1,1,NA,1,9,NA,NA,6,8,1,4,9,9,9,3,2,4,3,2,NA,NA,2,U,4,6,5,1,1,2,0,1
4498,212588,2,1,2,1,1,1,1,1,1,1,2,2,NA,2,NA,4,4,3,2,3,1,1,2,1,1,1,1,1,NA,NA,NA,5,3,3,2,1,2,2,2,5,3,2,1,2,18,1,1,5,6,2,2,1,NA,NA,NA,1,1,1,NA,1,13,NA,2,5,5,3,3,2,2,3,3,4,4,4,3,NA,NA,1,U,3,51,4,1,1,3,1,1
4622,213180,2,2,2,2,2,2,2,1,1,2,2,1,NA,2,NA,6,6,3,1,1,NA,3,1,1,1,1,2,2,1,2,1,3,2,2,2,1,3,1,3,1,3,1,3,2,36,3,2,4,1,1,2,3,NA,NA,NA,4,5,3,NA,2,13,NA,2,2,4,1,2,NA,2,4,3,1,1,6,4,NA,NA,1,S,4,6,5,2,1,3,1,1
4044,210750,1,1,1,1,1,1,2,1,1,2,2,1,2,NA,NA,4,6,3,1,1,NA,3,1,1,2,1,1,1,NA,NA,NA,3,2,4,2,2,1,3,4,2,3,1,4,2,61,5,3,3,6,2,2,2,NA,NA,NA,2,2,2,NA,1,2,NA,2,4,7,1,2,NA,2,4,3,2,4,1,NA,NA,NA,1,S,3,24,4,0,1,1,1,1
